0  0.212455 0.207571 0.188035 0.202687 0.217339
1  0.212455 0.197803 0.202687 0.197803 0.212455
2  0.202687 0.202687 0.207571 0.192919 0.212455
3  0.212455 0.207571 0.197803 0.207571 0.212455
4  0.217339 0.212455 0.197803 0.197803 0.217339
5  0.207571 0.207571 0.197803 0.202687 0.222223
6  0.212455 0.207571 0.197803 0.217339 0.222223
7  0.227107 0.197803 0.197803 0.212455 0.227107
8  0.207571 0.202687 0.207571 0.207571 0.241759
9  0.212455 0.207571 0.212455 0.222223 0.241759
10  0.207571 0.202687 0.207571 0.227107 0.241759
11  0.207571 0.227107 0.217339 0.227107 0.256411
12  0.217339 0.212455 0.217339 0.231991 0.266179
13  0.217339 0.202687 0.217339 0.246643 0.275947
14  0.207571 0.212455 0.227107 0.256411 0.280831
15  0.217339 0.217339 0.222223 0.256411 0.290599
16  0.212455 0.207571 0.227107 0.271063 0.295483
17  0.217339 0.212455 0.241759 0.266179 0.310135
18  0.217339 0.212455 0.241759 0.275947 0.315019
19  0.212455 0.222223 0.246643 0.280831 0.324787
20  0.222223 0.222223 0.251527 0.295483 0.329671
21  0.217339 0.231991 0.251527 0.305251 0.334555
22  0.217339 0.231991 0.256411 0.305251 0.349207
23  0.222223 0.236875 0.261295 0.319903 0.358975
24  0.227107 0.236875 0.275947 0.319903 0.363859
25  0.227107 0.231991 0.275947 0.334555 0.373627
26  0.236875 0.241759 0.271063 0.334555 0.383395
27  0.236875 0.241759 0.280831 0.344323 0.393163
28  0.236875 0.251527 0.285715 0.354091 0.402931
29  0.236875 0.256411 0.290599 0.358975 0.407815
30  0.241759 0.251527 0.305251 0.363859 0.412699
31  0.236875 0.256411 0.305251 0.368743 0.422467
32  0.241759 0.256411 0.315019 0.373627 0.422467
33  0.241759 0.266179 0.310135 0.373627 0.427351
34  0.246643 0.275947 0.310135 0.383395 0.437119
35  0.251527 0.275947 0.315019 0.383395 0.437119
36  0.251527 0.275947 0.315019 0.393163 0.442003
37  0.256411 0.280831 0.319903 0.393163 0.442003
38  0.271063 0.280831 0.339439 0.393163 0.442003
39  0.256411 0.275947 0.329671 0.398047 0.442003
40  0.261295 0.295483 0.329671 0.393163 0.442003
41  0.266179 0.285715 0.334555 0.398047 0.442003
42  0.266179 0.295483 0.334555 0.393163 0.446887
43  0.271063 0.295483 0.344323 0.393163 0.451771
44  0.266179 0.305251 0.339439 0.393163 0.446887
45  0.266179 0.290599 0.349207 0.398047 0.442003
46  0.271063 0.300367 0.344323 0.398047 0.446887
47  0.275947 0.305251 0.344323 0.398047 0.451771
48  0.275947 0.300367 0.349207 0.393163 0.451771
49  0.280831 0.300367 0.349207 0.402931 0.442003
50  0.275947 0.300367 0.349207 0.402931 0.446887
51  0.275947 0.310135 0.349207 0.398047 0.446887
52  0.275947 0.310135 0.349207 0.398047 0.446887
53  0.285715 0.315019 0.349207 0.398047 0.446887
54  0.285715 0.305251 0.354091 0.402931 0.437119
55  0.280831 0.305251 0.358975 0.402931 0.442003
56  0.285715 0.305251 0.354091 0.402931 0.446887
57  0.295483 0.310135 0.354091 0.407815 0.442003
58  0.285715 0.310135 0.354091 0.402931 0.442003
59  0.290599 0.310135 0.363859 0.398047 0.442003
60  0.290599 0.310135 0.354091 0.402931 0.442003
61  0.285715 0.329671 0.358975 0.398047 0.446887
62  0.285715 0.315019 0.363859 0.398047 0.437119
63  0.295483 0.319903 0.363859 0.398047 0.442003
64  0.290599 0.310135 0.358975 0.402931 0.437119
65  0.295483 0.310135 0.368743 0.398047 0.437119
66  0.295483 0.324787 0.363859 0.398047 0.442003
67  0.300367 0.319903 0.358975 0.402931 0.437119
68  0.295483 0.324787 0.363859 0.402931 0.442003
69  0.295483 0.324787 0.363859 0.398047 0.437119
70  0.310135 0.324787 0.358975 0.402931 0.446887
71  0.300367 0.324787 0.363859 0.398047 0.442003
72  0.295483 0.319903 0.363859 0.402931 0.432235
73  0.305251 0.329671 0.363859 0.407815 0.437119
74  0.305251 0.324787 0.358975 0.402931 0.442003
75  0.295483 0.319903 0.368743 0.402931 0.432235
76  0.300367 0.324787 0.358975 0.402931 0.437119
77  0.295483 0.319903 0.368743 0.402931 0.432235
78  0.300367 0.334555 0.363859 0.402931 0.437119
79  0.305251 0.329671 0.368743 0.402931 0.437119
80  0.305251 0.329671 0.358975 0.402931 0.437119
81  0.305251 0.324787 0.373627 0.402931 0.432235
82  0.300367 0.329671 0.368743 0.407815 0.437119
83  0.300367 0.329671 0.373627 0.402931 0.432235
84  0.305251 0.324787 0.363859 0.402931 0.437119
85  0.300367 0.334555 0.368743 0.402931 0.437119
86  0.315019 0.324787 0.358975 0.402931 0.437119
87  0.315019 0.324787 0.363859 0.402931 0.432235
88  0.300367 0.324787 0.373627 0.402931 0.432235
89  0.305251 0.334555 0.363859 0.402931 0.437119
90  0.305251 0.329671 0.368743 0.402931 0.432235
91  0.310135 0.334555 0.363859 0.402931 0.437119
92  0.300367 0.324787 0.373627 0.402931 0.432235
93  0.305251 0.329671 0.363859 0.402931 0.422467
94  0.305251 0.324787 0.363859 0.402931 0.432235
95  0.305251 0.324787 0.368743 0.402931 0.432235
96  0.310135 0.329671 0.363859 0.398047 0.437119
97  0.305251 0.329671 0.368743 0.402931 0.432235
98  0.310135 0.324787 0.368743 0.398047 0.432235
99  0.310135 0.334555 0.368743 0.402931 0.427351
100  0.310135 0.334555 0.368743 0.398047 0.432235
101  0.305251 0.324787 0.368743 0.402931 0.432235
102  0.310135 0.329671 0.363859 0.407815 0.432235
103  0.315019 0.339439 0.363859 0.398047 0.432235
104  0.305251 0.339439 0.363859 0.402931 0.432235
105  0.310135 0.334555 0.368743 0.402931 0.442003
106  0.310135 0.324787 0.368743 0.402931 0.427351
107  0.310135 0.334555 0.363859 0.402931 0.432235
108  0.310135 0.339439 0.368743 0.402931 0.432235
109  0.310135 0.334555 0.363859 0.402931 0.432235
110  0.305251 0.334555 0.363859 0.398047 0.432235
111  0.305251 0.334555 0.373627 0.402931 0.432235
112  0.310135 0.349207 0.373627 0.402931 0.432235
113  0.305251 0.339439 0.368743 0.402931 0.432235
114  0.305251 0.329671 0.368743 0.402931 0.432235
115  0.310135 0.329671 0.373627 0.402931 0.432235
116  0.305251 0.334555 0.368743 0.402931 0.432235
117  0.310135 0.334555 0.373627 0.402931 0.432235
118  0.315019 0.339439 0.368743 0.402931 0.432235
119  0.310135 0.339439 0.368743 0.402931 0.432235
