0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0
2 0 0 0 0 0 0 0
3 1.6812747361	2.5914864219	3.052301625	3.3322616514	3.5271014266	3.6778286179	3.8015382723
4 1.7111276992	2.6155839734	3.0675690972	3.3438224738	3.5413534493	3.6819353999	3.8015382723
5 1.8483288207	2.6734035443	3.1047481004	3.3609169072	3.5460593403	3.6981959208	3.8051680403
6 1.8983392413	2.6956266811	3.1047481004	3.3721529804	3.5507431896	3.7022200711	3.8087846808
7 1.9689568085	2.7173666677	3.1192411077	3.3721529804	3.5460593403	3.7102201137	3.8123882883
8 1.9689568085	2.7173666677	3.1120208597	3.3665507249	3.5460593403	3.7022200711	3.8087846808
9 1.9914296644	2.7386440662	3.1264095972	3.3665507249	3.5460593403	3.7022200711	3.8051680403
10 2.0349147763	2.7697346533	3.1264095972	3.3721529804	3.5507431896	3.6941555112	3.8087846808
11 2.0765874727	2.7798870247	3.133527065	3.3665507249	3.5507431896	3.6900987105	3.8087846808
12 2.09679018	2.7697346533	3.133527065	3.3665507249	3.5460593403	3.6860253851	3.8087846808
13 2.0765874727	2.7594781531	3.1192411077	3.3552511696	3.5318747053	3.6737049007	3.7905692409
14 2.09679018	2.7697346533	3.1264095972	3.3665507249	3.5318747053	3.6695641081	3.7868859955
15 2.09679018	2.7697346533	3.1120208597	3.3438224738	3.5271014266	3.6528273157	3.7757541551
16 2.09679018	2.7491153661	3.1120208597	3.3380587691	3.5223052543	3.6485989796	3.772015833
17 2.0765874727	2.7386440662	3.090041953	3.3146658895	3.5174859679	3.6400882899	3.7607162777
18 2.0765874727	2.7280619569	3.0826069745	3.3146658895	3.5077771537	3.6358056282	3.7607162777
19 2.09679018	2.7386440662	3.0751163028	3.308731154	3.5028871684	3.6271848851	3.7569212068
20 2.1165928073	2.7173666677	3.0675690972	3.302760987	3.4830845411	3.6228464835	3.7531116783
21 2.09679018	2.7065557516	3.0445795789	3.2907126485	3.4679709033	3.6141128035	3.7377267595
22 2.0559681855	2.6956266811	3.0367974385	3.2785173754	3.4577667332	3.6097171921	3.7260307197
23 2.0559681855	2.6845768449	3.028954261	3.2661715396	3.4474573635	3.591938946	3.7141962621
24 2.0559681855	2.6845768449	3.0367974385	3.2599409898	3.4370406026	3.5829298761	3.7102201137
25 2.0559681855	2.6621039891	3.0050487402	3.2536713768	3.4158757914	3.5692622374	3.7022200711
26 2.0134085711	2.6621039891	2.99695153	3.2473622076	3.4105138483	3.5646645281	3.6941555112
27 2.0134085711	2.6391144708	2.9722589174	3.2473622076	3.4051229997	3.5554052027	3.6819353999
28 1.9914296644	2.6274184311	2.9722589174	3.2346231818	3.3997029322	3.5554052027	3.6737049007
29 1.9914296644	2.6036077824	2.9554517991	3.221719777	3.3832642059	3.5460593403	3.6654060979
30 1.9224367929	2.5792163293	2.9383573657	3.1887134805	3.3721529804	3.5366253081	3.6528273157
31 1.9224367929	2.5542150271	2.9296993029	3.1751997614	3.3665507249	3.5223052543	3.6443526887
32 1.9459672903	2.5667938093	2.9296993029	3.1751997614	3.3721529804	3.5174859679	3.6400882899
33 1.9224367929	2.5542150271	2.9121549933	3.161500917	3.3495531485	3.5028871684	3.6271848851
34 1.9224367929	2.5667938093	2.9032660459	3.1476118048	3.3380587691	3.4979731536	3.6184891781
35 1.8736466287	2.5155005149	2.8942973759	3.1192411077	3.3205656116	3.4880720826	3.6053021739
36 1.9224367929	2.5285725964	2.9032660459	3.1264095972	3.3264307311	3.4880720826	3.6053021739
37 1.8736466287	2.4888322678	2.9032660459	3.1192411077	3.3146658895	3.4730342053	3.5964132264
