0 21.6201590068	20.8529192419	20.8231156912	20.8754704822	21.0010180526	21.1614802028	21.2869064464	23.1991
1 22.4364444273	21.6759170737	21.6439358028	21.691632788	21.8150716686	21.9767278484	22.1035045868	23.0363
2 23.2474280061	22.4935582117	22.4594287872	22.5025260723	22.623878244	22.7867063552	22.9148108547	23.1991
3 24.0531441792	23.3058775214	23.2696292176	23.3081843512	23.427471599	23.5914497789	23.7208595435	23.1991
4 24.8536271588	24.1129096413	24.0745714427	24.1086414211	24.2258853358	24.390991955	24.5216847244	23.5247
5 25.648910935	24.9146889844	24.8742895882	24.9039308602	25.01915284	25.1853665005	25.3173202476	23.6875
6 26.439029277	25.7112497397	25.6688175584	25.69408603	25.807307282	25.974606815	26.1077997443	24.1759
7 27.2240157347	26.5026258738	26.4581890377	26.4791400766	26.5903816183	26.7587460823	26.8931566274	24.6643
8 28.0039036402	27.2888511322	27.2424374917	27.2591259319	27.3684085933	27.5378172715	27.6734240934	25.3155
9 28.7787261089	28.0699590406	28.0215961688	28.0340763156	28.14142074	28.311853139	28.4486351238	25.8039
10 29.5485160413	28.8459829066	28.7956981017	28.8040237358	28.9094503818	29.0808862291	29.2188224863	26.2923
11 30.3133061241	29.616955821	29.5647761088	29.569000491	29.6725296338	29.8449488761	29.984018736	26.9435
12 31.0731288318	30.3829106593	30.3288627953	30.329038671	30.4306904042	30.604073205	30.7442562175	27.5947
13 31.8280164279	31.1438800828	31.0879905549	31.0841701585	31.1839643953	31.3582911335	31.4995670654	28.5715
14 32.5780009664	31.8998965406	31.8421915711	31.8344266303	31.9323831052	32.1076343727	32.2499832062	29.0599
15 33.3231142929	32.6509922701	32.5914978185	32.579839559	32.675977829	32.8521344288	32.9955363595	30.0367
16 34.0633880465	33.3971992993	33.3359410641	33.3204402135	33.4147796601	33.5918226046	33.7362580394	30.8507
17 34.7988536606	34.1385494474	34.0755528689	34.0562596613	34.1488194913	34.3267300004	34.4721795557	31.8275
18 35.5295423644	34.8750743269	34.8103645889	34.7873287692	34.8781280165	35.0568875154	35.2033320152	32.4787
19 36.2554851844	35.6068053441	35.5404073768	35.5136782045	35.6027357317	35.7823258493	35.9297463235	33.1299
20 36.9767129454	36.3337737012	36.2657121829	36.2353384368	36.3226729362	36.5030755033	36.6514531854	33.9439
21 37.6932562722	37.0560103971	36.9863097567	36.9523397389	37.0379697341	37.2191667814	37.3684831071	34.9207
22 38.4051455906	37.7735462291	37.7022306482	37.6647121882	37.7486560356	37.9306297918	38.0808663969	35.7347
23 39.1124111287	38.4864117941	38.4135052092	38.3724856677	38.454761558	38.6374944481	38.7886331669	36.5487
24 39.8150829184	39.1946374895	39.1201635942	39.0756898679	39.1563158268	39.3397904706	39.4918133339	37.1999
25 40.5131907964	39.8982535153	39.8222357624	39.7743542872	39.8533481777	40.0375473873	40.1904366208	38.1767
26 41.2067644058	40.5972898746	40.5197514783	40.4685082338	40.5458877569	40.7307945357	40.884532558	38.9907
27 41.8958331969	41.2917763754	41.2127403133	41.1581808266	41.2339635228	41.4195610634	41.5741304845	39.8047
28 42.580426429	41.9817426316	41.9012316468	41.8434009967	41.9176042475	42.1038759298	42.2592595491	40.4559
29 43.2605731712	42.6672180644	42.5852546677	42.5241974881	42.5968385171	42.783767907	42.9399487118	41.2699
30 43.9363023038	43.3482319034	43.2648383754	43.2005988594	43.2716947339	43.4592655811	43.6162267448	42.2467
31 44.6076425195	44.0248131882	43.9400115811	43.872633485	43.9422011168	44.1303973536	44.288122234	43.0607
32 45.2746223248	44.6969907691	44.6108029088	44.5403295558	44.6083857031	44.7971914424	44.9556635801	43.5491
33 45.9372700408	45.3647933087	45.2772407971	45.2037150809	45.2702763491	45.4596758828	45.6188789994	44.3631
34 46.5956138048	46.0282492832	45.9393534997	45.8628178886	45.9279007319	46.1178785293	46.2777965257	45.0143
35 47.2496815714	46.6873869833	46.5971690872	46.5176656274	46.5812863499	46.7718270561	46.9324440111	45.9911
36 47.8995011135	47.3422345156	47.2507154479	47.1682857675	47.2304605243	47.4215489584	47.5828491269	46.4795
37 48.5451000237	47.9928198038	47.900020289	47.8147056015	47.8754504003	48.0670715541	48.2290393655	47.2935
38 49.1865057154	48.6391705898	48.5451111381	48.456952246	48.5162829481	48.7084219843	48.8710420409	47.7819
39 49.8237454238	49.2813144348	49.1860153439	49.0950526425	49.1529849641	49.3456272145	49.5088842901	48.5959
40 50.4568462073	49.919278721	49.8227600778	49.7290335586	49.7855830719	49.9787140363	50.1425930742	49.0843
41 51.0858349487	50.553090652	50.4553723349	50.3589215889	50.4141037235	50.6077090679	50.7721951798	49.8983
42 51.7107383559	51.1827772545	51.0838789349	50.9847431566	51.0385732005	51.2326387554	51.3977172197	50.5495
43 52.3315829636	51.8083653792	51.7083065235	51.6065245142	51.659017615	51.8535293743	52.0191856343	51.2007
44 52.948395134	52.4298817023	52.3286815735	52.2242917445	52.2754629108	52.4704070298	52.6366266926	51.8519
45 53.561201058	53.0473527259	52.945030386	52.8380707623	52.8879348646	53.0832976589	53.2500664936	52.5031
46 54.1700267567	53.6608047801	53.5573790913	53.4478873148	53.4964590867	53.6922270305	53.8595309668	53.3171
47 54.7748980819	54.2702640233	54.16575365	54.0537669831	54.1010610226	54.2972207472	54.465045874	53.8055
48 55.3758407176	54.8757564437	54.7701798545	54.6557351832	54.7017659537	54.8983042461	55.0666368099	54.2939
49 55.972880181	55.4773078605	55.3706833295	55.2538171668	55.2985989983	55.4955027998	55.6643292034	54.7823
