# x y
348.000	5.048
349.000	5.053
350.000	5.053
351.000	5.053
352.000	5.053
353.000	5.048
354.000	5.048
355.000	5.048
356.000	5.048
357.000	5.053
358.000	5.043
359.000	5.043
360.000	5.043
361.000	5.043
362.000	5.043
363.000	5.038
364.000	5.043
365.000	5.043
366.000	5.043
367.000	5.038
368.000	5.043
369.000	5.043
370.000	5.043
371.000	5.038
372.000	5.038
373.000	5.043
374.000	5.038
375.000	5.043
376.000	5.043
377.000	5.043
378.000	5.038
379.000	5.033
380.000	5.038
381.000	5.043
382.000	5.033
383.000	5.033
384.000	5.033
385.000	5.033
386.000	5.033
387.000	5.033
388.000	5.033
389.000	5.033
390.000	5.023
391.000	5.028
392.000	5.028
393.000	5.028
394.000	5.028
395.000	5.028
396.000	5.028
397.000	5.028
398.000	5.033
399.000	5.038
400.000	5.033
401.000	5.033
402.000	5.033
403.000	5.033
404.000	5.033
405.000	5.033
406.000	5.033
407.000	5.033
408.000	5.033
409.000	5.038
410.000	5.038
411.000	5.038
412.000	5.038
413.000	5.033
414.000	5.038
415.000	5.038
416.000	5.038
417.000	5.038
418.000	5.038
419.000	5.043
420.000	5.043
