#time[s] 	 x_1[m] 	 u[V] 	 xhat_1[m] 	 xhat_2[m/s] 	 diff[m/s]
0.00 	0.000000 	0.000000 	0.000000 	0.000000 	0.000000
0.01 	0.000000 	10.000000 	0.000000 	0.000000 	0.000000
0.02 	0.001125 	10.000000 	0.000000 	0.366005 	0.112507
0.03 	0.003375 	10.000000 	0.003721 	0.719251 	0.225014
0.04 	0.007200 	10.000000 	0.010895 	1.059174 	0.382524
0.05 	0.013051 	10.000000 	0.021287 	1.385515 	0.585037
0.06 	0.018901 	10.000000 	0.034698 	1.698292 	0.585037
0.07 	0.025427 	7.338689 	0.050829 	1.996804 	0.652542
0.08 	0.033302 	1.925283 	0.069426 	2.183353 	0.787550
0.09 	0.040953 	-1.048653 	0.089311 	2.160810 	0.765049
0.10 	0.049053 	-2.446813 	0.108310 	2.025407 	0.810052
0.11 	0.056254 	-2.885358 	0.125367 	1.839415 	0.720046
0.12 	0.059179 	-2.764126 	0.140033 	1.640192 	0.292519
0.13 	0.058954 	-2.301107 	0.152072 	1.447962 	-0.022501
0.14 	0.057379 	-1.655876 	0.161528 	1.274774 	-0.157510
0.15 	0.054003 	-0.952561 	0.168657 	1.127097 	-0.337522
0.16 	0.049053 	-0.255560 	0.173743 	1.006345 	-0.495032
0.17 	0.034877 	0.399746 	0.177079 	0.911501 	-1.417591
0.18 	0.041178 	1.105588 	0.178522 	0.837153 	0.630040
0.19 	0.037127 	1.504593 	0.179484 	0.793238 	-0.405026
0.20 	0.036452 	1.839781 	0.179736 	0.763533 	-0.067504
0.21 	0.032627 	2.067409 	0.179641 	0.746802 	-0.382524
0.22 	0.034202 	2.260853 	0.179178 	0.737534 	0.157510
0.23 	0.036452 	2.347282 	0.178732 	0.736485 	0.225014
0.24 	0.040503 	2.357524 	0.178421 	0.739701 	0.405026
0.25 	0.046128 	2.298830 	0.178377 	0.744896 	0.562536
0.26 	0.051978 	2.182741 	0.178691 	0.749992 	0.585037
0.27 	0.058954 	2.037839 	0.179355 	0.752839 	0.697545
0.28 	0.066154 	1.869415 	0.180388 	0.752770 	0.720046
0.29 	0.073580 	1.693822 	0.181753 	0.748973 	0.742548
0.30 	0.082130 	1.520276 	0.183406 	0.741276 	0.855055
0.31 	0.090456 	1.340861 	0.185355 	0.730226 	0.832553
0.32 	0.098106 	1.169464 	0.187538 	0.715524 	0.765049
0.33 	0.106657 	1.019262 	0.189868 	0.697235 	0.855055
0.34 	0.115207 	0.874247 	0.192351 	0.676563 	0.855055
0.35 	0.123308 	0.736945 	0.194955 	0.653723 	0.810052
0.36 	0.131858 	0.614241 	0.197627 	0.628849 	0.855055
0.37 	0.140634 	0.496478 	0.200367 	0.602701 	0.877556
0.38 	0.148735 	0.380703 	0.203172 	0.575567 	0.810052
0.39 	0.155935 	0.277392 	0.205990 	0.547264 	0.720046
0.40 	0.165161 	0.194805 	0.208762 	0.517929 	0.922559
0.41 	0.171686 	0.095864 	0.211589 	0.489175 	0.652542
0.42 	0.179787 	0.025611 	0.214328 	0.459296 	0.810052
0.43 	0.187437 	-0.050960 	0.217058 	0.430039 	0.765049
0.44 	0.194637 	-0.125553 	0.219760 	0.400976 	0.720046
0.45 	0.202288 	-0.193460 	0.222415 	0.372006 	0.765049
0.46 	0.209263 	-0.264787 	0.225049 	0.343566 	0.697545
0.47 	0.216014 	-0.329507 	0.227633 	0.315254 	0.675043
0.48 	0.222314 	-0.388418 	0.230159 	0.287238 	0.630040
0.49 	0.228165 	-0.439140 	0.232608 	0.259566 	0.585037
0.50 	0.234690 	-0.480709 	0.234964 	0.232378 	0.652542
0.51 	0.239190 	-0.528579 	0.237273 	0.206293 	0.450029
0.52 	0.243916 	-0.553744 	0.239439 	0.180262 	0.472530
0.53 	0.247741 	-0.571891 	0.241483 	0.155258 	0.382524
0.54 	0.254041 	-0.576722 	0.243373 	0.131195 	0.630040
0.55 	0.254491 	-0.611926 	0.245261 	0.109563 	0.045003
0.56 	0.257641 	-0.585325 	0.246854 	0.086855 	0.315020
0.57 	0.259892 	-0.565775 	0.248305 	0.066554 	0.225014
0.58 	0.260792 	-0.542370 	0.249596 	0.048017 	0.090006
0.59 	0.261917 	-0.502503 	0.250680 	0.030851 	0.112507
0.60 	0.263492 	-0.461407 	0.251595 	0.015779 	0.157510
0.61 	0.264167 	-0.430705 	0.252394 	0.003015 	0.067504
0.62 	0.265067 	-0.397435 	0.253059 	-0.008213 	0.090006
0.63 	0.264842 	-0.369578 	0.253625 	-0.017726 	-0.022501
0.64 	0.264842 	-0.332453 	0.254053 	-0.026188 	0.000000
0.65 	0.265742 	-0.296626 	0.254373 	-0.033155 	0.090006
0.66 	0.264167 	-0.277213 	0.254655 	-0.038331 	-0.157510
0.67 	0.263492 	-0.234981 	0.254785 	-0.043342 	-0.067504
0.68 	0.263267 	-0.195275 	0.254821 	-0.046944 	-0.022501
0.69 	0.261467 	-0.166115 	0.254807 	-0.049066 	-0.180012
0.70 	0.261242 	-0.123244 	0.254676 	-0.050749 	-0.022501
0.71 	0.260342 	-0.096978 	0.254523 	-0.050839 	-0.090006
0.72 	0.259442 	-0.072452 	0.254328 	-0.050259 	-0.090006
0.73 	0.259442 	-0.050222 	0.254102 	-0.049081 	0.000000
0.74 	0.258317 	-0.042837 	0.253899 	-0.047042 	-0.112507
0.75 	0.257191 	-0.028519 	0.253667 	-0.045170 	-0.112507
0.76 	0.258092 	-0.010693 	0.253405 	-0.043194 	0.090006
0.77 	0.256291 	-0.019555 	0.253226 	-0.040178 	-0.180012
0.78 	0.256291 	-0.005428 	0.252990 	-0.038235 	0.000000
0.79 	0.255166 	-0.003425 	0.252785 	-0.035752 	-0.112507
0.80 	0.255166 	0.007463 	0.252556 	-0.033649 	0.000000
0.81 	0.254041 	0.007641 	0.252361 	-0.031132 	-0.112507
0.82 	0.254041 	0.017629 	0.252140 	-0.029067 	0.000000
0.83 	0.253366 	0.017487 	0.251952 	-0.026623 	-0.067504
0.84 	0.251791 	0.021263 	0.251762 	-0.024465 	-0.157510
0.85 	0.253366 	0.039914 	0.251519 	-0.022792 	0.157510
0.86 	0.252241 	0.022763 	0.251391 	-0.019781 	-0.112507
0.87 	0.252241 	0.023809 	0.251239 	-0.017898 	0.000000
0.88 	0.252016 	0.020042 	0.251114 	-0.015986 	-0.022501
0.89 	0.251791 	0.017148 	0.251003 	-0.014320 	-0.022501
0.90 	0.252466 	0.015203 	0.250902 	-0.012865 	0.067504
0.91 	0.252241 	0.001701 	0.250858 	-0.011227 	-0.022501
0.92 	0.251791 	-0.004970 	0.250820 	-0.010214 	-0.045003
0.93 	0.252241 	-0.004034 	0.250770 	-0.009644 	0.045003
0.94 	0.251791 	-0.011125 	0.250753 	-0.008864 	-0.045003
0.95 	0.252466 	-0.009854 	0.250721 	-0.008542 	0.067504
0.96 	0.252466 	-0.019352 	0.250729 	-0.007906 	0.000000
0.97 	0.252016 	-0.025074 	0.250744 	-0.007644 	-0.045003
0.98 	0.252016 	-0.022018 	0.250736 	-0.007784 	0.000000
