#time[s] 	 x_1[m] 	 u[V] 	 xhat_1[m] 	 xhat_2[m/s] 	 diff[m/s]
0.00 	0.000000 	0.000000 	0.000000 	0.000000 	0.000000
0.01 	0.000000 	10.000000 	0.000000 	0.000000 	0.000000
0.02 	-0.000225 	10.000000 	0.000000 	0.366005 	-0.022501
0.03 	0.002250 	8.295121 	0.003556 	0.717080 	0.247516
0.04 	0.007200 	6.005564 	0.010121 	0.984803 	0.495032
0.05 	0.011926 	4.374012 	0.018614 	1.146679 	0.472530
0.06 	0.017326 	3.430800 	0.026978 	1.214092 	0.540035
0.07 	0.024752 	2.956373 	0.034641 	1.221813 	0.742548
0.08 	0.032402 	2.624135 	0.042271 	1.210069 	0.765049
0.09 	0.039603 	2.381308 	0.049793 	1.186746 	0.720046
0.10 	0.047928 	2.235206 	0.056933 	1.152908 	0.832553
0.11 	0.056479 	2.041670 	0.064284 	1.124043 	0.855055
0.12 	0.065479 	1.810734 	0.071903 	1.098335 	0.900058
0.13 	0.073580 	1.536652 	0.079906 	1.075702 	0.810052
0.14 	0.082805 	1.333526 	0.087728 	1.044602 	0.922559
0.15 	0.092256 	1.079662 	0.095890 	1.017959 	0.945060
0.16 	0.100581 	0.796474 	0.104384 	0.992871 	0.832553
0.17 	0.109132 	0.608772 	0.112548 	0.957035 	0.855055
0.18 	0.118133 	0.449742 	0.120534 	0.918582 	0.900058
0.19 	0.127133 	0.261784 	0.128605 	0.883485 	0.900058
0.20 	0.136134 	0.058551 	0.136757 	0.849901 	0.900058
0.21 	0.144009 	-0.149910 	0.144967 	0.816602 	0.787550
0.22 	0.152560 	-0.266845 	0.152689 	0.774310 	0.855055
0.23 	0.159985 	-0.407685 	0.160372 	0.735624 	0.742548
0.24 	0.167636 	-0.479469 	0.167549 	0.691200 	0.765049
0.25 	0.175061 	-0.557805 	0.174501 	0.649385 	0.742548
0.26 	0.181587 	-0.641668 	0.181255 	0.609842 	0.652542
0.27 	0.186762 	-0.673653 	0.187507 	0.566904 	0.517533
0.28 	0.192387 	-0.598002 	0.192830 	0.516081 	0.562536
0.29 	0.196663 	-0.552143 	0.197786 	0.472177 	0.427527
0.30 	0.200938 	-0.450958 	0.201986 	0.426319 	0.427527
0.31 	0.204313 	-0.369370 	0.205763 	0.386391 	0.337522
0.32 	0.207463 	-0.265490 	0.208954 	0.347808 	0.315020
0.33 	0.209713 	-0.174681 	0.211741 	0.314105 	0.225014
0.34 	0.212864 	-0.054929 	0.213941 	0.280828 	0.315020
0.35 	0.214664 	-0.033886 	0.216250 	0.260420 	0.180012
0.36 	0.217364 	0.028454 	0.218118 	0.237619 	0.270017
0.37 	0.219389 	0.013759 	0.220144 	0.224303 	0.202513
0.38 	0.221189 	0.006853 	0.222037 	0.210921 	0.180012
0.39 	0.223214 	0.013065 	0.223753 	0.197059 	0.202513
0.40 	0.225014 	-0.003347 	0.225474 	0.186296 	0.180012
0.41 	0.226364 	-0.018751 	0.227123 	0.175931 	0.135009
0.42 	0.228840 	-0.002927 	0.228531 	0.163075 	0.247516
0.43 	0.229965 	-0.073771 	0.230305 	0.159456 	0.112507
0.44 	0.231315 	-0.072511 	0.231742 	0.148395 	0.135009
0.45 	0.232665 	-0.061421 	0.233028 	0.137114 	0.135009
0.46 	0.232890 	-0.055203 	0.234230 	0.127138 	0.022501
0.47 	0.235365 	0.031132 	0.234880 	0.110246 	0.247516
0.48 	0.235590 	-0.047797 	0.236207 	0.111131 	0.022501
0.49 	0.236040 	-0.017184 	0.237032 	0.100636 	0.045003
0.50 	0.237390 	0.038599 	0.237578 	0.088764 	0.135009
0.51 	0.237615 	0.018180 	0.238379 	0.085532 	0.022501
0.52 	0.238065 	0.050498 	0.238880 	0.077254 	0.045003
0.53 	0.238065 	0.080775 	0.239274 	0.070066 	0.000000
0.54 	0.238740 	0.136959 	0.239414 	0.061217 	0.067504
0.55 	0.239415 	0.137648 	0.239714 	0.058852 	0.067504
0.56 	0.239190 	0.108535 	0.240164 	0.059478 	-0.022501
0.57 	0.239865 	0.141402 	0.240307 	0.053836 	0.067504
0.58 	0.237615 	0.124292 	0.240640 	0.053682 	-0.225014
0.59 	0.239865 	0.320208 	0.239774 	0.033084 	0.225014
0.60 	0.239865 	0.218817 	0.240147 	0.044313 	0.000000
0.61 	0.239865 	0.171101 	0.240459 	0.048562 	0.000000
0.62 	0.240540 	0.159973 	0.240669 	0.048514 	0.067504
0.63 	0.240765 	0.114271 	0.241095 	0.051629 	0.022501
0.64 	0.240540 	0.095898 	0.241458 	0.051422 	-0.022501
0.65 	0.240990 	0.129920 	0.241547 	0.046035 	0.045003
0.66 	0.240540 	0.127324 	0.241749 	0.044862 	-0.045003
0.67 	0.240765 	0.178384 	0.241637 	0.038632 	0.022501
0.68 	0.240990 	0.190551 	0.241619 	0.037081 	0.022501
0.69 	0.240315 	0.180344 	0.241698 	0.037896 	-0.067504
0.70 	0.240540 	0.233458 	0.241436 	0.032521 	0.022501
0.71 	0.240090 	0.234750 	0.241345 	0.033024 	-0.045003
0.72 	0.240990 	0.264599 	0.241093 	0.030795 	0.090006
0.73 	0.240315 	0.194247 	0.241354 	0.038579 	-0.067504
0.74 	0.240765 	0.215696 	0.241258 	0.036331 	0.045003
0.75 	0.240315 	0.188079 	0.241393 	0.039138 	-0.045003
0.76 	0.240765 	0.214146 	0.241284 	0.036345 	0.045003
0.77 	0.240540 	0.189074 	0.241407 	0.038891 	-0.022501
0.78 	0.239640 	0.197952 	0.241394 	0.037760 	-0.090006
0.79 	0.240765 	0.276373 	0.240958 	0.030189 	0.112507
0.80 	0.240765 	0.210309 	0.241170 	0.037739 	0.000000
0.81 	0.240540 	0.176675 	0.241360 	0.040967 	-0.022501
0.82 	0.263267 	0.184437 	0.241389 	0.039667 	2.272645
0.83 	0.240090 	-1.640819 	0.251936 	0.212843 	-2.317648
0.84 	0.240315 	-0.312848 	0.248569 	0.054223 	0.022501
0.85 	0.240090 	0.420140 	0.245282 	-0.022507 	-0.022501
0.86 	0.238515 	0.734561 	0.242648 	-0.046149 	-0.157510
0.87 	0.237615 	0.887346 	0.240269 	-0.049309 	-0.090006
0.88 	0.236715 	0.881379 	0.238545 	-0.035416 	-0.090006
0.89 	0.237840 	0.806495 	0.237342 	-0.015918 	0.112507
0.90 	0.237615 	0.557949 	0.237414 	0.017999 	-0.022501
0.91 	0.237615 	0.389272 	0.237687 	0.039316 	0.000000
0.92 	0.238065 	0.281077 	0.238047 	0.051592 	0.045003
0.93 	0.238515 	0.190640 	0.238571 	0.060159 	0.045003
0.94 	0.240315 	0.127623 	0.239147 	0.064536 	0.180012
0.95 	0.227715 	-0.018818 	0.240334 	0.075844 	-1.260081
0.96 	0.240540 	0.982684 	0.235238 	-0.024407 	1.282582
0.97 	0.241215 	0.302437 	0.237454 	0.053124 	0.067504
0.98 	0.242341 	-0.096108 	0.239730 	0.091138 	0.112507
0.99 	0.242791 	-0.307439 	0.241853 	0.104359 	0.045003
1.00 	0.243691 	-0.331835 	0.243331 	0.096538 	0.090006
