#time[s] 	 x_1[m] 	 u[V] 	 xhat_1[m] 	 xhat_2[m/s] 	 diff[m/s]
0.00 	0.000000 	0.000000 	0.000000 	0.000000 	0.000000
0.01 	0.000000 	10.000000 	0.000000 	0.000000 	0.000000
0.02 	0.000450 	10.000000 	0.000000 	0.366005 	0.045003
0.03 	0.002925 	8.261615 	0.003779 	0.720135 	0.247516
0.04 	0.008101 	5.905449 	0.010755 	0.994018 	0.517533
0.05 	0.012601 	4.157015 	0.019994 	1.166469 	0.450029
0.06 	0.019351 	2.989885 	0.029708 	1.254718 	0.675043
0.07 	0.025877 	2.211313 	0.039521 	1.288322 	0.652542
0.08 	0.033077 	1.746016 	0.048803 	1.282512 	0.720046
0.09 	0.040728 	1.479503 	0.057477 	1.253739 	0.765049
0.10 	0.049278 	1.328125 	0.065594 	1.213227 	0.855055
0.11 	0.057604 	1.212794 	0.073419 	1.169918 	0.832553
0.12 	0.065704 	1.122459 	0.080944 	1.125425 	0.810052
0.13 	0.073580 	1.048142 	0.088176 	1.080930 	0.787550
0.14 	0.081905 	0.983191 	0.095132 	1.037220 	0.832553
0.15 	0.090456 	0.899020 	0.102013 	0.996750 	0.855055
0.16 	0.098781 	0.789034 	0.108930 	0.959587 	0.832553
0.17 	0.106432 	0.668419 	0.115847 	0.923897 	0.765049
0.18 	0.114082 	0.563668 	0.122601 	0.887245 	0.765049
0.19 	0.122408 	0.465039 	0.129225 	0.850727 	0.832553
0.20 	0.130058 	0.342138 	0.135933 	0.816939 	0.765049
0.21 	0.137484 	0.227690 	0.142552 	0.782654 	0.742548
0.22 	0.145584 	0.124462 	0.149041 	0.747797 	0.810052
0.23 	0.153235 	0.000912 	0.155606 	0.715177 	0.765049
0.24 	0.160435 	-0.119425 	0.162132 	0.682413 	0.720046
0.25 	0.167861 	-0.222709 	0.168508 	0.648418 	0.742548
0.26 	0.174611 	-0.326464 	0.174822 	0.614965 	0.675043
0.27 	0.181812 	-0.408868 	0.180916 	0.580212 	0.720046
0.28 	0.187887 	-0.499077 	0.186954 	0.546962 	0.607539
0.29 	0.194412 	-0.557271 	0.192670 	0.511719 	0.652542
0.30 	0.199138 	-0.618923 	0.198247 	0.478006 	0.472530
0.31 	0.204088 	-0.624236 	0.203262 	0.440739 	0.495032
0.32 	0.208363 	-0.615163 	0.207888 	0.404431 	0.427527
0.33 	0.211964 	-0.585588 	0.212058 	0.368731 	0.360023
0.34 	0.215114 	-0.533258 	0.215720 	0.333720 	0.315020
0.35 	0.217589 	-0.466421 	0.218897 	0.300375 	0.247516
0.36 	0.220064 	-0.382610 	0.221556 	0.268607 	0.247516
0.37 	0.221864 	-0.305280 	0.223848 	0.240512 	0.180012
0.38 	0.222989 	-0.222737 	0.225729 	0.214807 	0.112507
0.39 	0.224789 	-0.127611 	0.227154 	0.190818 	0.180012
0.40 	0.225914 	-0.064124 	0.228438 	0.172285 	0.112507
0.41 	0.227040 	-0.006412 	0.229495 	0.156274 	0.112507
0.42 	0.227490 	0.038210 	0.230410 	0.143155 	0.045003
0.43 	0.228390 	0.091402 	0.231070 	0.130771 	0.090006
0.44 	0.229515 	0.125557 	0.231671 	0.121487 	0.112507
0.45 	0.229515 	0.134612 	0.232316 	0.115337 	0.000000
0.46 	0.230640 	0.166099 	0.232730 	0.107834 	0.112507
0.47 	0.230640 	0.166029 	0.233257 	0.103853 	0.000000
0.48 	0.231990 	0.185920 	0.233605 	0.098460 	0.135009
0.49 	0.231990 	0.166315 	0.234163 	0.096947 	0.000000
0.50 	0.232440 	0.172257 	0.234559 	0.093123 	0.045003
0.51 	0.232890 	0.175791 	0.234931 	0.089814 	0.045003
0.52 	0.233565 	0.176552 	0.235290 	0.086985 	0.067504
0.53 	0.233790 	0.166653 	0.235705 	0.085217 	0.022501
0.54 	0.234690 	0.166638 	0.236051 	0.082591 	0.090006
0.55 	0.234015 	0.147623 	0.236518 	0.081693 	-0.067504
0.56 	0.234915 	0.174647 	0.236674 	0.076761 	0.090006
0.57 	0.235140 	0.169391 	0.236978 	0.075192 	0.022501
0.58 	0.235590 	0.168766 	0.237244 	0.073256 	0.045003
0.59 	0.235815 	0.162322 	0.237540 	0.071907 	0.022501
0.60 	0.235815 	0.160495 	0.237804 	0.070162 	0.000000
0.61 	0.236265 	0.169066 	0.237981 	0.067635 	0.045003
0.62 	0.235815 	0.166336 	0.238204 	0.066320 	-0.045003
0.63 	0.236040 	0.188755 	0.238237 	0.062964 	0.022501
0.64 	0.236040 	0.199346 	0.238287 	0.061118 	0.000000
0.65 	0.236040 	0.209450 	0.238305 	0.059579 	0.000000
0.66 	0.236265 	0.217978 	0.238303 	0.058411 	0.022501
0.67 	0.236040 	0.216484 	0.238349 	0.058268 	-0.022501
0.68 	0.236490 	0.225112 	0.238322 	0.057274 	0.045003
0.69 	0.236715 	0.214721 	0.238411 	0.058040 	0.022501
0.70 	0.236715 	0.202002 	0.238544 	0.058798 	0.000000
0.71 	0.237390 	0.197160 	0.238649 	0.058672 	0.067504
0.72 	0.236715 	0.173285 	0.238904 	0.060056 	-0.067504
0.73 	0.237390 	0.188502 	0.238927 	0.057772 	0.067504
0.74 	0.237165 	0.177070 	0.239099 	0.058052 	-0.022501
0.75 	0.236940 	0.182757 	0.239169 	0.056732 	-0.022501
0.76 	0.237390 	0.197861 	0.239148 	0.054796 	0.045003
0.77 	0.237165 	0.192716 	0.239232 	0.054873 	-0.022501
0.78 	0.236940 	0.199940 	0.239235 	0.053847 	-0.022501
0.79 	0.237390 	0.213700 	0.239168 	0.052449 	0.045003
0.80 	0.237165 	0.205758 	0.239223 	0.053132 	-0.022501
0.81 	0.237390 	0.209724 	0.239211 	0.052672 	0.022501
0.82 	0.237165 	0.204316 	0.239257 	0.053073 	-0.022501
0.83 	0.237165 	0.209899 	0.239236 	0.052461 	0.000000
0.84 	0.237165 	0.213416 	0.239214 	0.052140 	0.000000
0.85 	0.237165 	0.215314 	0.239195 	0.052023 	0.000000
0.86 	0.236940 	0.216053 	0.239179 	0.052038 	-0.022501
0.87 	0.236940 	0.224078 	0.239109 	0.051460 	0.000000
0.88 	0.237165 	0.227629 	0.239051 	0.051405 	0.022501
0.89 	0.237165 	0.220162 	0.239067 	0.052316 	0.000000
0.90 	0.236940 	0.214988 	0.239088 	0.052874 	-0.022501
0.91 	0.237390 	0.219811 	0.239050 	0.052495 	0.045003
0.92 	0.236940 	0.206033 	0.239137 	0.053747 	-0.045003
0.93 	0.237165 	0.214703 	0.239095 	0.052866 	0.022501
0.94 	0.237390 	0.211791 	0.239114 	0.053123 	0.022501
0.95 	0.236715 	0.202233 	0.239190 	0.053870 	-0.067504
0.96 	0.237165 	0.221809 	0.239076 	0.052024 	0.045003
0.97 	0.237165 	0.216587 	0.239092 	0.052627 	0.000000
0.98 	0.237165 	0.213141 	0.239109 	0.052970 	0.000000
0.99 	0.237390 	0.211142 	0.239126 	0.053122 	0.022501
1.00 	0.236940 	0.202183 	0.239199 	0.053811 	-0.045003
