#time[s] 	 x_1[m] 	 u[V] 	 xhat_1[m] 	 xhat_2[m/s] 	 diff[m/s]
0.00 	0.000000 	0.000000 	0.000000 	0.000000 	0.000000
0.01 	0.000000 	10.000000 	0.000000 	0.000000 	0.000000
0.02 	0.000000 	10.000000 	0.000000 	0.366005 	0.000000
0.03 	0.002700 	10.000000 	0.003660 	0.718807 	0.270017
0.04 	0.007650 	10.000000 	0.010403 	1.051518 	0.495032
0.05 	0.012826 	10.000000 	0.019641 	1.358475 	0.517533
0.06 	0.018676 	10.000000 	0.030064 	1.623187 	0.585037
0.07 	0.026102 	10.000000 	0.041012 	1.843267 	0.742548
0.08 	0.033977 	6.659986 	0.052527 	2.028378 	0.787550
0.09 	0.040953 	4.387418 	0.064205 	2.056643 	0.697545
0.10 	0.048828 	3.950712 	0.073983 	1.964634 	0.787550
0.11 	0.058054 	4.155205 	0.081959 	1.845359 	0.922559
0.12 	0.066604 	4.189171 	0.089322 	1.747462 	0.855055
0.13 	0.074705 	4.117241 	0.096257 	1.663452 	0.810052
0.14 	0.083930 	3.975965 	0.102892 	1.588784 	0.922559
0.15 	0.093156 	3.539613 	0.109983 	1.531511 	0.922559
0.16 	0.102607 	3.003374 	0.117491 	1.476714 	0.945060
0.17 	0.111382 	2.444078 	0.125353 	1.419169 	0.877556
0.18 	0.120833 	2.053868 	0.133063 	1.350242 	0.945060
0.19 	0.129608 	1.624523 	0.140891 	1.282874 	0.877556
0.20 	0.139059 	1.309842 	0.148485 	1.209490 	0.945060
0.21 	0.148510 	0.906151 	0.156207 	1.141478 	0.945060
0.22 	0.161785 	0.470485 	0.164050 	1.074411 	1.327585
0.23 	0.167411 	-0.625245 	0.173744 	1.035496 	0.562536
0.24 	0.175736 	-0.461598 	0.181160 	0.926670 	0.832553
0.25 	0.184737 	-0.402730 	0.187911 	0.834731 	0.900058
0.26 	0.193062 	-0.652525 	0.194785 	0.765529 	0.832553
0.27 	0.200038 	-0.956052 	0.201641 	0.700812 	0.697545
0.28 	0.206788 	-1.062982 	0.207905 	0.628237 	0.675043
0.29 	0.211739 	-1.118790 	0.213670 	0.558098 	0.495032
0.30 	0.214889 	-0.924770 	0.218355 	0.482202 	0.315020
0.31 	0.218264 	-0.465035 	0.221569 	0.404369 	0.337522
0.32 	0.219614 	-0.154525 	0.224079 	0.347407 	0.135009
0.33 	0.221414 	0.280369 	0.225482 	0.294961 	0.180012
0.34 	0.222989 	0.506576 	0.226544 	0.263375 	0.157510
0.35 	0.223664 	0.576333 	0.227529 	0.245141 	0.067504
0.36 	0.225689 	0.688907 	0.228187 	0.227743 	0.202513
0.37 	0.227040 	0.532975 	0.229306 	0.225578 	0.135009
0.38 	0.228840 	0.411828 	0.230510 	0.219560 	0.180012
0.39 	0.230415 	0.250747 	0.231931 	0.213896 	0.157510
0.40 	0.232215 	0.144313 	0.233366 	0.203727 	0.180012
0.41 	0.234240 	0.036111 	0.234869 	0.192825 	0.202513
0.42 	0.235590 	-0.099490 	0.236506 	0.182362 	0.135009
0.43 	0.237390 	-0.110217 	0.237904 	0.165118 	0.180012
0.44 	0.238290 	-0.165127 	0.239317 	0.151182 	0.090006
0.45 	0.238965 	-0.089263 	0.240352 	0.131807 	0.067504
0.46 	0.240990 	0.036767 	0.241027 	0.113142 	0.202513
0.47 	0.241890 	-0.107697 	0.242141 	0.110126 	0.090006
0.48 	0.242566 	-0.144413 	0.243126 	0.100286 	0.067504
0.49 	0.243466 	-0.098774 	0.243869 	0.087081 	0.090006
0.50 	0.243916 	-0.085970 	0.244553 	0.077229 	0.045003
0.51 	0.245041 	-0.026971 	0.245029 	0.066409 	0.112507
0.52 	0.245491 	-0.094917 	0.245699 	0.063114 	0.045003
0.53 	0.245941 	-0.089434 	0.246233 	0.055767 	0.045003
0.54 	0.245491 	-0.063148 	0.246655 	0.048237 	-0.045003
0.55 	0.245041 	0.110962 	0.246597 	0.035251 	-0.045003
0.56 	0.245941 	0.287601 	0.246228 	0.026097 	0.090006
0.57 	0.245266 	0.173044 	0.246355 	0.033481 	-0.067504
0.58 	0.245491 	0.242061 	0.246185 	0.030245 	0.022501
0.59 	0.245491 	0.214282 	0.246165 	0.032689 	0.000000
0.60 	0.245266 	0.193118 	0.246179 	0.034178 	-0.022501
0.61 	0.245491 	0.221433 	0.246097 	0.033005 	0.022501
0.62 	0.245491 	0.184786 	0.246146 	0.035266 	0.000000
0.63 	0.245266 	0.170908 	0.246195 	0.035731 	-0.022501
0.64 	0.245266 	0.210361 	0.246121 	0.033570 	0.000000
0.65 	0.245266 	0.221302 	0.246060 	0.033497 	0.000000
0.66 	0.242341 	0.216669 	0.246026 	0.034295 	-0.292519
0.67 	0.245266 	0.714412 	0.244659 	0.012709 	0.292519
0.68 	0.246616 	0.262838 	0.245068 	0.043051 	0.135009
0.69 	0.245491 	-0.178294 	0.246216 	0.062996 	-0.112507
0.70 	0.245716 	-0.044260 	0.246510 	0.048629 	0.022501
0.71 	0.245716 	0.056397 	0.246628 	0.039163 	0.000000
0.72 	0.245491 	0.141983 	0.246596 	0.032818 	-0.022501
0.73 	0.245491 	0.228910 	0.246411 	0.028349 	0.000000
0.74 	0.245266 	0.248779 	0.246268 	0.028640 	-0.022501
0.75 	0.245041 	0.273178 	0.246089 	0.029024 	-0.022501
0.76 	0.245491 	0.293863 	0.245893 	0.029930 	0.045003
0.77 	0.245491 	0.191872 	0.246006 	0.036519 	0.000000
0.78 	0.245941 	0.148934 	0.246132 	0.038274 	0.045003
0.79 	0.245716 	0.067734 	0.246426 	0.040877 	-0.022501
0.80 	0.245716 	0.111085 	0.246505 	0.036432 	0.000000
0.81 	0.246166 	0.153312 	0.246503 	0.033126 	0.045003
0.82 	0.245941 	0.101520 	0.246678 	0.034953 	-0.022501
0.83 	0.245941 	0.140869 	0.246685 	0.031752 	0.000000
0.84 	0.245716 	0.167048 	0.246657 	0.030049 	-0.022501
0.85 	0.245491 	0.217241 	0.246521 	0.027853 	-0.022501
0.86 	0.245941 	0.262095 	0.246322 	0.026894 	0.045003
0.87 	0.245266 	0.174704 	0.246414 	0.032595 	-0.067504
0.88 	0.245941 	0.254104 	0.246207 	0.029005 	0.067504
0.89 	0.245266 	0.148091 	0.246374 	0.035215 	-0.067504
0.90 	0.214214 	0.229767 	0.246212 	0.030865 	-3.105199
0.91 	0.245941 	5.632337 	0.231675 	-0.207345 	3.172703
0.92 	0.245941 	0.791872 	0.236220 	0.115736 	0.000000
0.93 	0.249316 	-1.397031 	0.241887 	0.215126 	0.337522
0.94 	0.251791 	-2.290643 	0.247485 	0.213230 	0.247516
0.95 	0.252691 	-2.226238 	0.251615 	0.154738 	0.090006
0.96 	0.251566 	-1.562770 	0.253662 	0.075931 	-0.112507
0.97 	0.248191 	-0.564275 	0.253449 	-0.000086 	-0.337522
0.98 	0.244366 	0.608881 	0.251009 	-0.061077 	-0.382524
0.99 	0.241440 	1.549883 	0.247316 	-0.087556 	-0.292519
1.00 	0.238515 	1.952584 	0.243714 	-0.072750 	-0.292519
