0.061,  2,0.122,35.77,sigx,0.003721,
0.579,  7,4.053,354,sigy,0.335241,
1.17,   12,14.04,1433.435,sigxy,1.3689,
1.678,  17,28.526,12,n,2.815684,
2.19, 22,48.18,,,4.7961,
2.708,27,73.116,,,7.333264,
3.236,32,103.552,,,10.471696,
3.753,37,138.861,,,14.085009,
4.295,42,180.39,,,18.447025,
4.828,47,226.916,,,23.309584,
5.365,52,278.98,,,28.783225,
5.907,57,336.699,,,34.892649,
,,,,,146.642098,sigx2
